,k_PCG,time_pcg,k_CG,time_cg,num_subdomains,n_cells,overlap
0,7,0.015821218,9,0.000831366,3,81,5
1,7,0.016395569,9,0,3,81,10
2,7,0.017744064,9,0.007356882,3,81,15
3,5,0.012288094,9,0,3,81,20
4,8,0.035405636,21,0.005913973,4,256,5
5,11,0.048567057,21,0,4,256,10
6,11,0.049814939,21,0.008088827,4,256,15
7,7,0.047702789,21,0,4,256,20
8,10,0.05774188,32,0.018321037,5,625,5
9,11,0.108114004,32,0.016161203,5,625,10
10,7,0.109276056,32,0.010745525,5,625,15
11,9,0.15088129,32,0.018476486,5,625,20
12,8,0.023459435,23,0.005420208,3,324,5
13,8,0.028096676,23,0.001078129,3,324,10
14,12,0.064509869,23,0.008843422,3,324,15
15,10,0.051455975,23,0.011109114,3,324,20
16,9,0.101551056,42,0.048397541,4,1024,5
17,8,0.146398067,42,0.048394918,4,1024,10
18,11,0.178910494,42,0.055295706,4,1024,15
19,11,0.194011688,42,0.068202257,4,1024,20
20,11,0.549488306,66,0.286353111,5,2500,5
21,13,0.609637499,66,0.292301655,5,2500,10
22,11,0.79306221,66,0.265232325,5,2500,15
23,9,0.775957584,66,0.298550606,5,2500,20
24,9,0.063963652,35,0.021153212,3,729,5
25,8,0.069782019,35,0.03150034,3,729,10
26,10,0.105689049,35,0.017347097,3,729,15
27,12,0.116784334,35,0.016507149,3,729,20
28,10,0.337374687,64,0.252348185,4,2304,5
29,9,0.384645939,64,0.254989147,4,2304,10
30,11,0.532364845,64,0.277614117,4,2304,15
31,11,0.674491405,64,0.246871471,4,2304,20
32,11,2.072826862,99,1.651256323,5,5625,5
33,13,2.499774933,99,1.641144991,5,5625,10
34,12,2.64344883,99,1.65739274,5,5625,15
35,9,2.723197937,99,1.603582144,5,5625,20
36,9,0.132900953,48,0.077521086,3,1296,5
37,8,0.153223038,48,0.072038889,3,1296,10
38,8,0.170759916,48,0.08135891,3,1296,15
39,12,0.21824193,48,0.070783854,3,1296,20
40,10,1.024302006,85,0.817469358,4,4096,5
41,9,1.130841732,85,0.853934288,4,4096,10
42,12,1.43019104,85,0.872142792,4,4096,15
43,11,1.613484144,85,0.852775335,4,4096,20
44,11,8.120418072,99,7.54474926,5,10000,5
45,14,8.904742956,99,7.554965734,5,10000,10
46,12,9.10439086,99,7.402205706,5,10000,15
47,9,9.325886965,99,7.449403524,5,10000,20
