,k_PCG,time_pcg,k_CG,time_cg,num_subdomains,n_cells,overlap
0,11,0.43894433975219727,66,0.3173797130584717,5,2500,5
1,13,0.49799466133117676,66,0.2855393886566162,5,2500,10
2,11,0.4973585605621338,66,0.29569268226623535,5,2500,15
3,9,0.46135878562927246,66,0.30031728744506836,5,2500,20
4,9,0.46709108352661133,66,0.3012721538543701,5,2500,25
5,11,0.5045466423034668,66,0.3017725944519043,5,2500,30
6,11,0.49559879302978516,66,0.29225945472717285,5,2500,35
7,7,0.8254294395446777,66,0.600008487701416,5,2500,40
8,7,1.3445515632629395,66,0.857811450958252,5,2500,45
9,7,0.39972996711730957,66,0.3263535499572754,5,2500,50
