,k_PCG,time_pcg,k_CG,time_cg,num_subdomains,n_cells,overlap
0,7,7.667023420333862,99,7.035197973251343,2,14400,15
1,8,7.226102113723755,99,7.151509046554565,3,14400,15
2,12,7.282456874847412,99,7.307499170303345,4,14400,15
3,12,7.331576585769653,99,7.228959083557129,5,14400,15
4,12,6.976637840270996,99,6.936941862106323,6,14400,15
5,10,6.984060525894165,99,6.9268903732299805,8,14400,15
6,12,6.970149993896484,99,6.919490814208984,10,14400,15
7,12,6.944195747375488,99,6.913984298706055,12,14400,15
8,11,7.246111154556274,99,7.447927236557007,15,14400,15
9,11,7.178441047668457,99,7.148021459579468,20,14400,15
10,12,7.205521583557129,99,7.187835931777954,24,14400,15
11,12,7.224352121353149,99,7.368558168411255,30,14400,15
12,11,6.85625147819519,99,6.745131492614746,40,14400,15
13,11,7.812127351760864,99,6.800179958343506,60,14400,15
